id,female,age,state
1,1,65,2
2,0,64,1
3,1,61,1
4,0,60,1
5,0,60,1
6,1,54,1
7,0,62,1
8,1,52,1
9,0,63,1
10,1,57,1
11,1,59,1
12,1,64,1
13,0,72,1
14,1,63,1
15,0,72,2
16,0,61,1
17,1,58,2
18,0,71,1
19,1,62,1
20,1,66,1
21,0,100,1
22,1,67,1
23,1,65,2
24,1,63,1
25,1,58,2
26,0,61,2
27,1,65,2
28,1,62,2
29,0,65,2
30,0,59,1
31,0,66,1
32,1,60,1
33,1,64,2
34,1,60,1
35,0,59,1
36,1,54,1
37,0,62,1
38,1,61,1
39,0,59,1
40,1,57,1
41,1,60,1
42,1,58,1
43,1,63,1
44,1,66,1
45,0,69,1
46,1,65,1
47,1,61,1
48,0,59,1
49,1,66,1
50,0,68,1
51,0,60,1
52,1,55,1
53,1,63,1
54,1,61,2
55,0,64,1
56,0,63,1
57,1,68,1
58,0,69,1
59,0,63,1
60,1,62,1
61,0,59,1
62,1,59,1
63,1,58,1
64,1,59,1
65,1,62,1
66,0,67,1
67,1,55,1
68,1,68,1
69,1,60,1
70,0,62,1
71,1,60,1
72,0,51,1
73,1,63,1
74,1,59,1
75,1,64,1
76,1,58,2
77,1,69,2
78,0,74,1
79,0,60,1
80,1,66,2
81,0,59,1
82,1,59,1
83,0,59,1
84,0,56,1
85,1,59,1
86,0,61,2
87,1,63,2
88,1,53,2
89,1,61,2
90,0,82,2
91,1,62,3
92,1,60,2
93,0,60,1
94,1,62,1
95,0,71,1
96,1,64,1
97,0,71,1
98,0,64,1
99,1,67,1
100,0,67,1
101,0,61,1
102,0,58,1
103,1,53,1
104,1,60,1
105,1,61,1
106,0,64,1
107,1,62,1
108,0,63,1
109,1,54,1
110,0,62,1
111,1,57,1
112,1,57,1
113,1,64,1
114,1,60,1
115,0,64,1
116,1,59,1
117,0,68,1
118,0,62,1
119,1,61,1
120,0,58,1
121,1,67,1
122,0,64,1
123,1,64,1
124,1,66,1
125,0,67,1
126,1,58,2
127,0,69,1
128,1,63,1
129,1,59,1
130,1,64,1
131,0,61,3
132,1,61,2
133,1,61,1
134,0,58,1
135,1,53,1
136,1,68,1
137,1,62,1
138,0,68,1
139,1,59,1
140,1,66,1
141,0,72,1
142,1,61,1
143,1,68,1
144,0,74,1
145,0,67,1
146,1,65,1
147,0,60,2
148,1,53,1
149,0,63,1
150,1,59,1
151,1,69,2
152,0,65,1
153,1,69,2
154,1,67,1
155,1,67,3
156,1,58,1
157,1,64,2
158,1,60,1
159,1,59,1
160,1,68,1
161,0,61,1
162,1,55,1
163,1,67,1
164,0,67,1
165,1,65,1
166,0,67,3
167,1,65,1
168,0,70,2
169,0,66,1
170,1,62,1
171,1,62,1
172,0,72,1
173,0,59,1
174,0,59,1
175,1,54,1
176,0,59,1
177,1,51,1
178,1,67,1
179,0,70,1
180,0,67,1
181,1,69,1
182,1,68,1
183,0,72,1
184,1,67,1
185,1,62,1
186,0,63,1
187,0,61,1
188,0,61,1
189,1,58,1
190,1,67,1
191,1,62,1
192,0,65,1
193,1,61,1
194,0,61,1
195,1,62,1
196,0,60,1
197,0,51,2
198,1,62,1
199,0,63,1
200,0,64,1
201,1,61,1
202,1,68,1
203,1,62,1
204,1,66,2
205,0,58,1
206,0,63,1
207,0,70,1
208,0,65,1
209,1,65,1
210,0,60,1
211,1,52,1
212,1,64,1
213,0,72,1
214,1,59,1
215,0,58,1
216,0,64,1
217,1,62,2
218,1,60,1
219,0,56,1
220,0,67,1
221,1,58,1
222,0,62,1
223,1,62,1
224,1,66,1
225,0,69,1
226,1,60,1
227,0,72,1
228,1,59,1
229,0,59,1
230,0,58,1
231,1,58,1
232,1,58,1
233,0,62,1
234,1,64,1
235,0,60,1
236,0,64,2
237,1,60,1
238,0,62,1
239,0,62,3
240,1,58,2
241,1,67,1
242,0,74,1
243,0,58,1
244,1,57,1
245,0,69,1
246,1,68,1
247,1,61,1
248,0,62,1
249,1,67,2
250,1,58,1
251,0,67,3
252,1,67,3
253,0,70,1
254,1,64,1
255,1,69,1
256,1,68,1
257,1,60,1
258,0,63,1
259,0,64,1
260,1,59,1
261,1,62,1
262,0,65,1
263,1,56,1
264,0,62,1
265,1,57,1
266,0,67,1
267,1,66,1
268,0,61,2
269,1,57,1
270,0,67,1
271,1,61,1
272,1,58,2
273,1,67,1
274,0,71,1
275,0,65,1
276,1,65,1
277,1,68,1
278,0,70,2
279,1,58,1
280,0,70,1
281,1,60,1
282,1,61,1
283,0,60,1
284,0,63,1
285,0,62,1
286,0,61,1
287,1,57,1
288,1,67,1
289,1,59,1
290,1,65,1
291,0,62,1
292,1,60,1
293,1,59,1
294,1,69,1
295,0,77,1
296,1,66,2
297,0,66,2
298,1,75,1
299,0,66,1
300,0,68,2
301,1,64,1
302,0,73,1
303,0,58,1
304,1,54,1
305,1,63,1
306,0,70,2
307,1,64,1
308,1,61,1
309,0,60,2
310,1,53,1
311,0,64,1
312,1,61,2
313,1,54,1
314,1,65,2
315,0,64,1
316,0,62,1
317,1,62,1
318,0,54,1
319,0,63,1
320,1,58,1
321,0,65,1
322,1,65,1
323,0,61,1
324,1,61,1
325,0,69,2
326,1,61,1
327,0,59,1
328,0,63,1
329,1,56,1
330,0,72,1
331,1,67,1
332,0,74,1
333,1,60,1
334,0,58,1
335,1,67,1
336,0,63,1
337,0,64,1
338,0,69,1
339,1,64,1
340,1,63,1
341,0,68,1
342,1,66,1
