age,female,from,healthy,mild,severe,death
51,0,healthy,0.841204737,0.146666664,0.003755964,0.008372635
52,0,healthy,0.833028841,0.153721485,0.004136891,0.009112783
53,0,healthy,0.825171718,0.160400207,0.004526536,0.00990154
54,0,healthy,0.817607314,0.166727877,0.00492348,0.010741329
55,0,healthy,0.810295151,0.172743591,0.005326711,0.011634548
56,0,healthy,0.803181799,0.178498996,0.005735692,0.012583513
57,0,healthy,0.796202283,0.1840569,0.006150404,0.013590413
58,0,healthy,0.78928132,0.189490044,0.00657139,0.014657245
59,0,healthy,0.782334343,0.194880131,0.006999786,0.015785741
60,0,healthy,0.775268269,0.200317114,0.00743734,0.016977276
61,0,healthy,0.76798199,0.205898804,0.007886441,0.018232765
62,0,healthy,0.760366573,0.211730778,0.008350131,0.019552518
63,0,healthy,0.752305197,0.217926604,0.008832123,0.020936077
64,0,healthy,0.743672828,0.22460836,0.00933682,0.022381992
65,0,healthy,0.734335696,0.231907418,0.009869331,0.023887555
66,0,healthy,0.72417308,0.239940909,0.01043469,0.025451321
67,0,healthy,0.713147583,0.248734249,0.011035202,0.027082966
68,0,healthy,0.701244241,0.258285856,0.011672352,0.02879755
69,0,healthy,0.688450038,0.268589076,0.012347503,0.030613382
70,0,healthy,0.674755094,0.279630611,0.013061854,0.03255244
71,0,healthy,0.660153839,0.291388831,0.013816404,0.034640927
72,0,healthy,0.644646138,0.303831986,0.014611897,0.036909979
73,0,healthy,0.628238315,0.31691632,0.015448774,0.03939659
74,0,healthy,0.610944012,0.330584096,0.016327112,0.04214478
75,0,healthy,0.592784811,0.344761543,0.017246551,0.045207095
76,0,healthy,0.573798396,0.359354475,0.018205643,0.048641486
77,0,healthy,0.554063368,0.37424094,0.019199917,0.052495775
78,0,healthy,0.533677427,0.389279663,0.020223282,0.056819628
79,0,healthy,0.512748391,0.40431313,0.021268535,0.061669944
80,0,healthy,0.491392085,0.419168587,0.022327364,0.067111964
81,0,healthy,0.469729706,0.433659381,0.023390354,0.073220558
82,0,healthy,0.447884779,0.447586549,0.024447023,0.080081648
83,0,healthy,0.425979868,0.460740509,0.025485844,0.087793779
84,0,healthy,0.404133221,0.472902723,0.026494276,0.09646978
85,0,healthy,0.382455556,0.483847224,0.027458782,0.106238439
86,0,healthy,0.361091683,0.493314951,0.028363307,0.117230059
87,0,healthy,0.340343945,0.50094951,0.029185448,0.129521097
88,0,healthy,0.320520383,0.506411008,0.029902636,0.143165972
89,0,healthy,0.301882741,0.509415963,0.030494451,0.158206846
90,0,healthy,0.284644591,0.509743866,0.030943118,0.174668426
91,0,healthy,0.2689735,0.507240828,0.031233871,0.192551801
92,0,healthy,0.254996747,0.501820747,0.031355187,0.21182732
93,0,healthy,0.242809847,0.493464553,0.031298925,0.232426675
94,0,healthy,0.232487094,0.482218027,0.031060394,0.254234485
95,0,healthy,0.224093443,0.468188457,0.030638363,0.277079737
96,0,healthy,0.217697292,0.451540154,0.030035005,0.300727549
97,0,healthy,0.213384029,0.432488628,0.029255768,0.324871574
98,0,healthy,0.211270474,0.411293134,0.028309139,0.349127253
99,0,healthy,0.211520629,0.388247344,0.027206262,0.373025766
100,0,healthy,0.214363269,0.363668168,0.025960407,0.396008156
101,0,healthy,0.220111903,0.337883079,0.02458629,0.417418727
102,0,healthy,0.229187248,0.311216781,0.023099275,0.436496697
103,0,healthy,0.24214134,0.283978581,0.021514536,0.452365543
104,0,healthy,0.25968013,0.25645236,0.019846336,0.464021174
105,0,healthy,0.282676996,0.228891589,0.018107594,0.47032382
106,0,healthy,0.312161817,0.201522427,0.016310058,0.470005698
107,0,healthy,0.349258327,0.174558203,0.014465432,0.461718038
108,0,healthy,0.395028322,0.14822794,0.01258786,0.444155878
109,0,healthy,0.450174605,0.122818116,0.010697949,0.41630933
110,0,healthy,0.514579754,0.098718329,0.008827782,0.377874136
111,0,healthy,0.586751542,0.076446896,0.007024941,0.329776621
112,0,healthy,0.663418705,0.056619171,0.005351833,0.274610291
113,0,healthy,0.739671052,0.039829702,0.003876532,0.216622714
114,0,healthy,0.80992268,0.026469144,0.002655391,0.160952784
51,1,healthy,0.855305332,0.134675387,0.004055761,0.00596352
52,1,healthy,0.847752317,0.141280058,0.004471101,0.006496524
53,1,healthy,0.840491234,0.147547252,0.004896506,0.007065008
54,1,healthy,0.833499545,0.153499218,0.005330454,0.007670783
55,1,healthy,0.826740905,0.159171561,0.005771873,0.008315661
56,1,healthy,0.820166449,0.164611915,0.006220215,0.009001422
57,1,healthy,0.813716018,0.169878687,0.006675511,0.009729784
58,1,healthy,0.807319249,0.175039969,0.007138422,0.010502361
59,1,healthy,0.800896455,0.180172658,0.007610272,0.011320615
60,1,healthy,0.794359265,0.185361851,0.008093084,0.0121858
61,1,healthy,0.78761098,0.190700529,0.008589606,0.013098885
62,1,healthy,0.780546647,0.196289553,0.009103336,0.014060463
63,1,healthy,0.773052839,0.202237978,0.009638549,0.015070633
64,1,healthy,0.765007153,0.208663672,0.010200325,0.01612885
65,1,healthy,0.75627747,0.215694221,0.010794579,0.017233731
66,1,healthy,0.746743041,0.223444904,0.011427199,0.018384855
67,1,healthy,0.736363644,0.231945451,0.012101095,0.01958981
68,1,healthy,0.725120631,0.241200901,0.01281831,0.020860158
69,1,healthy,0.712996922,0.251212311,0.013580814,0.022209952
70,1,healthy,0.699978143,0.261975311,0.014390457,0.023656089
71,1,healthy,0.686053775,0.27347854,0.015248934,0.025218752
72,1,healthy,0.671218295,0.285701973,0.016157734,0.026921998
73,1,healthy,0.65547225,0.298615153,0.017118093,0.028794504
74,1,healthy,0.638823208,0.312175327,0.018130931,0.030870534
75,1,healthy,0.621286528,0.326325514,0.019196789,0.033191169
76,1,healthy,0.602893034,0.340989762,0.020315075,0.035802129
77,1,healthy,0.583712117,0.356063874,0.021481771,0.038742238
78,1,healthy,0.563832358,0.371424224,0.022691032,0.042052385
79,1,healthy,0.543353613,0.386930929,0.023935764,0.045779694
80,1,healthy,0.522385244,0.402428583,0.025207608,0.049978564
81,1,healthy,0.501043773,0.41774738,0.026496951,0.054711895
82,1,healthy,0.479450038,0.432704515,0.02779294,0.060052506
83,1,healthy,0.457725986,0.447105734,0.02908352,0.066084761
84,1,healthy,0.435991271,0.46074688,0.030355455,0.072906393
85,1,healthy,0.414359841,0.473415294,0.031594348,0.080630517
86,1,healthy,0.392982027,0.484860525,0.03278261,0.089374838
87,1,healthy,0.372171823,0.49471692,0.033894035,0.099217221
88,1,healthy,0.352255191,0.502622856,0.034901386,0.110220566
89,1,healthy,0.333516547,0.508263589,0.035779261,0.122440602
90,1,healthy,0.316195577,0.5113782,0.036504666,0.135921558
91,1,healthy,0.300488179,0.511763663,0.037057418,0.15069074
92,1,healthy,0.286551245,0.509276478,0.037420407,0.16675187
93,1,healthy,0.27451062,0.503832483,0.037579736,0.184077161
94,1,healthy,0.264471502,0.495405497,0.037524806,0.202598196
95,1,healthy,0.256530579,0.484025276,0.037248347,0.222195798
96,1,healthy,0.250789398,0.469774964,0.036746442,0.242689196
97,1,healthy,0.247368703,0.452787971,0.036018515,0.263824811
98,1,healthy,0.246423729,0.433243969,0.035067261,0.285265041
99,1,healthy,0.248160578,0.411363641,0.033898493,0.306577288
100,1,healthy,0.252853814,0.387401924,0.032520864,0.327223398
101,1,healthy,0.260865094,0.361639809,0.030945457,0.346549641
102,1,healthy,0.272661821,0.334375335,0.029185267,0.363777577
103,1,healthy,0.288833053,0.305915077,0.027254699,0.377997171
104,1,healthy,0.310096661,0.276568311,0.025169243,0.388165785
105,1,healthy,0.337286382,0.24664682,0.022945659,0.393121138
106,1,healthy,0.371299545,0.216473813,0.020603054,0.391623588
107,1,healthy,0.41297742,0.186404824,0.018165292,0.382452463
108,1,healthy,0.462886337,0.156860483,0.015664967,0.364588213
109,1,healthy,0.520983077,0.128363752,0.013148451,0.33750472
110,1,healthy,0.586204199,0.10156203,0.010680197,0.301553574
111,1,healthy,0.656125688,0.077202258,0.008342706,0.258329348
112,1,healthy,0.726950042,0.056029624,0.006228032,0.210792301
113,1,healthy,0.794058452,0.038615197,0.004419658,0.162906692
114,1,healthy,0.853090867,0.025178449,0.002970378,0.118760306
51,0,mild,0.437252541,0.393704684,0.109825597,0.059217178
52,0,mild,0.419958395,0.400211289,0.117319926,0.06251039
53,0,mild,0.403924999,0.405480391,0.124644721,0.065949889
54,0,mild,0.389012037,0.409670815,0.131777699,0.069539449
55,0,mild,0.375076749,0.412940406,0.13870354,0.073279305
56,0,mild,0.361977355,0.415443393,0.145413539,0.077165712
57,0,mild,0.349575547,0.41732871,0.151905243,0.081190501
58,0,mild,0.337738301,0.418739009,0.158182072,0.085340618
59,0,mild,0.326339215,0.419810179,0.164252925,0.089597681
60,0,mild,0.315259519,0.420671207,0.170131741,0.093937533
61,0,mild,0.304388898,0.42144425,0.175837034,0.098329819
62,0,mild,0.293626212,0.422244823,0.181391357,0.102737607
63,0,mild,0.28288017,0.423182039,0.186820722,0.10711707
64,0,mild,0.272070017,0.424358808,0.192153926,0.11141725
65,0,mild,0.261126251,0.425871981,0.197421811,0.115579957
66,0,mild,0.250008639,0.427784922,0.202648642,0.119557797
67,0,mild,0.238753618,0.430045759,0.207827176,0.123373448
68,0,mild,0.227414137,0.43257091,0.212940388,0.127074566
69,0,mild,0.216041409,0.435272723,0.217969243,0.130716625
70,0,mild,0.204685011,0.438059511,0.222892891,0.134362587
71,0,mild,0.193392814,0.440835555,0.227688821,0.13808281
72,0,mild,0.182210768,0.44350108,0.232332925,0.141955227
73,0,mild,0.171182569,0.445952147,0.236799433,0.14606585
74,0,mild,0.160349245,0.448080452,0.241060691,0.150509612
75,0,mild,0.149748704,0.449772974,0.245086719,0.155391602
76,0,mild,0.139420712,0.450920062,0.248843046,0.160816179
77,0,mild,0.129420553,0.45144375,0.252286893,0.166848804
78,0,mild,0.11979862,0.451277031,0.255373676,0.173550673
79,0,mild,0.110594497,0.450355623,0.258058581,0.180991299
